condition	race
parabolic	black
parabolic	black
parabolic	black
parabolic	black
parabolic	black
parabolic	black
parabolic	black
parabolic	black
parabolic	black
parabolic	black
parabolic	black
parabolic	black
parabolic	black
parabolic	white
parabolic	white
parabolic	white
parabolic	white
parabolic	white
parabolic	white
parabolic	white
parabolic	white
parabolic	white
intermediate	black
intermediate	black
intermediate	black
intermediate	black
intermediate	black
intermediate	white
intermediate	white
intermediate	white
intermediate	white
intermediate	white
intermediate	white
intermediate	white
hyperbolic	black
hyperbolic	black
hyperbolic	black
hyperbolic	black
hyperbolic	black
hyperbolic	black
hyperbolic	black
hyperbolic	black
hyperbolic	black
hyperbolic	black
hyperbolic	black
hyperbolic	black
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
hyperbolic	white
